FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid-25a4c101_1886049a808_-19b,5334002,1476,Karmeliterstraße
strassennamen.fid-25a4c101_1886049a808_-19a,5334002,1478,Kasernenstraße
strassennamen.fid-25a4c101_1886049a808_-199,5334002,1483,Katschhof
strassennamen.fid-25a4c101_1886049a808_-198,5334002,1484,Kavenstraße
strassennamen.fid-25a4c101_1886049a808_-197,5334002,1486,Kesselweg
strassennamen.fid-25a4c101_1886049a808_-196,5334002,1487,Kettelerstraße
strassennamen.fid-25a4c101_1886049a808_-195,5334002,1489,Kirberichshofer Weg
strassennamen.fid-25a4c101_1886049a808_-194,5334002,1490,Kirchstraße
strassennamen.fid-25a4c101_1886049a808_-193,5334002,1491,Kelmiser Straße
strassennamen.fid-25a4c101_1886049a808_-192,5334002,1492,Klappergasse
strassennamen.fid-25a4c101_1886049a808_-191,5334002,1493,Klara-Fey-Straße
strassennamen.fid-25a4c101_1886049a808_-190,5334002,1495,Klausenerstraße
strassennamen.fid-25a4c101_1886049a808_-18f,5334002,1497,Kleinkölnstraße
strassennamen.fid-25a4c101_1886049a808_-18e,5334002,1498,Kleinmarschierstraße
strassennamen.fid-25a4c101_1886049a808_-18d,5334002,1500,Klemensstraße
strassennamen.fid-25a4c101_1886049a808_-18c,5334002,1502,Kleverstraße
strassennamen.fid-25a4c101_1886049a808_-18b,5334002,1505,Klosterplatz
strassennamen.fid-25a4c101_1886049a808_-18a,5334002,1506,Klostertreppe
strassennamen.fid-25a4c101_1886049a808_-189,5334002,1507,Klosterweiher
strassennamen.fid-25a4c101_1886049a808_-188,5334002,1508,Knöpgerweg
strassennamen.fid-25a4c101_1886049a808_-187,5334002,1509,Kockerellstraße
strassennamen.fid-25a4c101_1886049a808_-186,5334002,1510,Königsberger Straße
strassennamen.fid-25a4c101_1886049a808_-185,5334002,1511,Köhlstraße
strassennamen.fid-25a4c101_1886049a808_-184,5334002,1512,Königshügel
strassennamen.fid-25a4c101_1886049a808_-183,5334002,1513,Königstraße
strassennamen.fid-25a4c101_1886049a808_-182,5334002,1514,Körbergasse
strassennamen.fid-25a4c101_1886049a808_-181,5334002,1515,Körnerstraße
strassennamen.fid-25a4c101_1886049a808_-180,5334002,1516,Kolberger Straße
strassennamen.fid-25a4c101_1886049a808_-17f,5334002,1517,Don-Bosco-Straße
strassennamen.fid-25a4c101_1886049a808_-17e,5334002,1519,Komphausbadstraße
strassennamen.fid-25a4c101_1886049a808_-17d,5334002,1521,Kongressstraße
strassennamen.fid-25a4c101_1886049a808_-17c,5334002,1523,Kornelimünsterweg
strassennamen.fid-25a4c101_1886049a808_-17b,5334002,1524,Mefferdatisstraße
strassennamen.fid-25a4c101_1886049a808_-17a,5334002,1526,Krähenwäldchen
strassennamen.fid-25a4c101_1886049a808_-179,5334002,1528,Krämerstraße
strassennamen.fid-25a4c101_1886049a808_-178,5334002,1532,Krakaustraße
strassennamen.fid-25a4c101_1886049a808_-177,5334002,1535,Krautmühlenweg
strassennamen.fid-25a4c101_1886049a808_-176,5334002,1539,Kreuzerdriesch
strassennamen.fid-25a4c101_1886049a808_-175,5334002,1540,Kreuzherrenstraße
strassennamen.fid-25a4c101_1886049a808_-174,5334002,1546,Kronprinzenstraße
strassennamen.fid-25a4c101_1886049a808_-173,5334002,1550,Kruppstraße
strassennamen.fid-25a4c101_1886049a808_-172,5334002,1552,Kühlwetterstraße
strassennamen.fid-25a4c101_1886049a808_-171,5334002,1553,Küpperstraße
strassennamen.fid-25a4c101_1886049a808_-170,5334002,1557,Kupferstraße
strassennamen.fid-25a4c101_1886049a808_-16f,5334002,1559,Kurfürstenstraße
strassennamen.fid-25a4c101_1886049a808_-16e,5334002,1560,Kurhausstraße
strassennamen.fid-25a4c101_1886049a808_-16d,5334002,1561,Lagerhausstraße
strassennamen.fid-25a4c101_1886049a808_-16c,5334002,1563,Landdrostenstraße
strassennamen.fid-25a4c101_1886049a808_-16b,5334002,1565,Leipziger Straße
strassennamen.fid-25a4c101_1886049a808_-16a,5334002,1566,Lemierser Straße
strassennamen.fid-25a4c101_1886049a808_-169,5334002,1567,Lennéstraße
strassennamen.fid-25a4c101_1886049a808_-168,5334002,1568,Leo-Blech-Straße
strassennamen.fid-25a4c101_1886049a808_-167,5334002,1569,Gottfried-Dossing-Platz
strassennamen.fid-25a4c101_1886049a808_-166,5334002,1570,Leonhardstraße
strassennamen.fid-25a4c101_1886049a808_-165,5334002,1571,Lerchenweg
strassennamen.fid-25a4c101_1886049a808_-164,5334002,1574,Liebigstraße
strassennamen.fid-25a4c101_1886049a808_-163,5334002,1576,Lilienthalstraße
strassennamen.fid-25a4c101_1886049a808_-162,5334002,1577,Limburger Straße
strassennamen.fid-25a4c101_1886049a808_-161,5334002,1578,Lindenplatz
strassennamen.fid-25a4c101_1886049a808_-160,5334002,1580,Lintertstraße
strassennamen.fid-25a4c101_1886049a808_-15f,5334002,1582,Lintertweg
strassennamen.fid-25a4c101_1886049a808_-15e,5334002,1583,Lisztstraße
strassennamen.fid-25a4c101_1886049a808_-15d,5334002,1587,Löhergraben
strassennamen.fid-25a4c101_1886049a808_-15c,5334002,1589,Lohmühlenstraße
strassennamen.fid-25a4c101_1886049a808_-15b,5334002,1591,Lombardenstraße
strassennamen.fid-25a4c101_1886049a808_-15a,5334002,1593,Lortzingstraße
strassennamen.fid-25a4c101_1886049a808_-159,5334002,1596,Louis-Beißel-Straße
strassennamen.fid-25a4c101_1886049a808_-158,5334002,1597,Belvedereallee
strassennamen.fid-25a4c101_1886049a808_-157,5334002,1598,Lousbergstraße
strassennamen.fid-25a4c101_1886049a808_-156,5334002,1601,Luerweg
strassennamen.fid-25a4c101_1886049a808_-155,5334002,1603,Lützowstraße
strassennamen.fid-25a4c101_1886049a808_-154,5334002,1604,Luise-Hensel-Straße
strassennamen.fid-25a4c101_1886049a808_-153,5334002,1606,Luxemburger Ring
strassennamen.fid-25a4c101_1886049a808_-152,5334002,1607,Lutherweg
strassennamen.fid-25a4c101_1886049a808_-151,5334002,1611,Mallinckrodtstraße
strassennamen.fid-25a4c101_1886049a808_-150,5334002,1615,Malteserstraße
strassennamen.fid-25a4c101_1886049a808_-14f,5334002,1617,Margratenstraße
strassennamen.fid-25a4c101_1886049a808_-14e,5334002,1619,Mariabrunnstraße
strassennamen.fid-25a4c101_1886049a808_-14d,5334002,1620,Mariahilfstraße
strassennamen.fid-25a4c101_1886049a808_-14c,5334002,1622,Marienbongard
strassennamen.fid-25a4c101_1886049a808_-14b,5334002,1623,Marienplatz
strassennamen.fid-25a4c101_1886049a808_-14a,5334002,1624,Berdoletstraße
strassennamen.fid-25a4c101_1886049a808_-149,5334002,1626,Marienburger Straße
strassennamen.fid-25a4c101_1886049a808_-148,5334002,1627,Markt
strassennamen.fid-25a4c101_1886049a808_-147,5334002,1628,Triebelsstraße
strassennamen.fid-25a4c101_1886049a808_-146,5334002,1629,Martelenberger Weg
strassennamen.fid-25a4c101_1886049a808_-145,5334002,1630,Marshallstraße
strassennamen.fid-25a4c101_1886049a808_-144,5334002,1631,Martin-Luther-Straße
strassennamen.fid-25a4c101_1886049a808_-143,5334002,1632,Martinstraße
strassennamen.fid-25a4c101_1886049a808_-142,5334002,1634,Matthiashofstraße
strassennamen.fid-25a4c101_1886049a808_-141,5334002,1636,Mauerstraße
strassennamen.fid-25a4c101_1886049a808_-140,5334002,1638,Maxstraße
strassennamen.fid-25a4c101_1886049a808_-13f,5334002,1639,Mechtildisstraße
strassennamen.fid-25a4c101_1886049a808_-13e,5334002,1640,Meerssener Straße
strassennamen.fid-25a4c101_1886049a808_-13d,5334002,1641,Meisenweg
strassennamen.fid-25a4c101_1886049a808_-13c,5334002,1644,Melatener Weg
strassennamen.fid-25a4c101_1886049a808_-13b,5334002,1646,Merowingerstraße
strassennamen.fid-25a4c101_1886049a808_-13a,5334002,1648,Metzgerstraße
strassennamen.fid-25a4c101_1886049a808_-139,5334002,1649,Michaelsbergstraße
strassennamen.fid-25a4c101_1886049a808_-138,5334002,1650,Frère-Roger-Straße
strassennamen.fid-25a4c101_1886049a808_-137,5334002,1651,Michaelstreppe
strassennamen.fid-25a4c101_1886049a808_-136,5334002,1652,Middeldorfstraße
strassennamen.fid-25a4c101_1886049a808_-135,5334002,1654,Mies-van-der-Rohe-Straße
strassennamen.fid-25a4c101_1886049a808_-134,5334002,1656,Minoritenstraße
strassennamen.fid-25a4c101_1886049a808_-133,5334002,1658,Leydelstraße
strassennamen.fid-25a4c101_1886049a808_-132,5334002,1660,Mörgensstraße
strassennamen.fid-25a4c101_1886049a808_-131,5334002,1662,Moltkestraße
strassennamen.fid-25a4c101_1886049a808_-130,5334002,1663,Monheimsallee
strassennamen.fid-25a4c101_1886049a808_-12f,5334002,1666,Montzener Straße
strassennamen.fid-25a4c101_1886049a808_-12e,5334002,1667,Moreller Weg
strassennamen.fid-25a4c101_1886049a808_-12d,5334002,1668,Morillenhang
strassennamen.fid-25a4c101_1886049a808_-12c,5334002,1670,Mostardstraße
strassennamen.fid-25a4c101_1886049a808_-12b,5334002,1672,Mozartstraße
strassennamen.fid-25a4c101_1886049a808_-12a,5334002,1674,Mühlenberg
strassennamen.fid-25a4c101_1886049a808_-129,5334002,1675,Mühlental
strassennamen.fid-25a4c101_1886049a808_-128,5334002,1677,Mühlradstraße
strassennamen.fid-25a4c101_1886049a808_-127,5334002,1678,Münsterplatz
strassennamen.fid-25a4c101_1886049a808_-126,5334002,1679,Muffeter Weg
strassennamen.fid-25a4c101_1886049a808_-125,5334002,1680,Münstergracht
strassennamen.fid-25a4c101_1886049a808_-124,5334002,1681,Nachtigallenweg
strassennamen.fid-25a4c101_1886049a808_-123,5334002,1683,Nekesstraße
strassennamen.fid-25a4c101_1886049a808_-122,5334002,1684,Nelkenweg
strassennamen.fid-25a4c101_1886049a808_-121,5334002,1685,Nellessenstraße
strassennamen.fid-25a4c101_1886049a808_-120,5334002,1687,Neuhausstraße
strassennamen.fid-25a4c101_1886049a808_-11f,5334002,1689,Neumarkt
strassennamen.fid-25a4c101_1886049a808_-11e,5334002,1690,Neupforte
strassennamen.fid-25a4c101_1886049a808_-11d,5334002,1692,Neustraße
strassennamen.fid-25a4c101_1886049a808_-11c,5334002,1694,Nikolausstraße
strassennamen.fid-25a4c101_1886049a808_-11b,5334002,1696,Nizzaallee
strassennamen.fid-25a4c101_1886049a808_-11a,5334002,1697,Nordhoffstraße
strassennamen.fid-25a4c101_1886049a808_-119,5334002,1698,Normannenstraße
strassennamen.fid-25a4c101_1886049a808_-118,5334002,1700,Obere Drimbornstraße
strassennamen.fid-25a4c101_1886049a808_-117,5334002,1702,Oberstraße
strassennamen.fid-25a4c101_1886049a808_-116,5334002,1704,Oligsbendengasse
strassennamen.fid-25a4c101_1886049a808_-115,5334002,1706,Oppenhoffallee
strassennamen.fid-25a4c101_1886049a808_-114,5334002,1708,Oranienstraße
strassennamen.fid-25a4c101_1886049a808_-113,5334002,1714,Kurbrunnenstraße
strassennamen.fid-25a4c101_1886049a808_-112,5334002,1718,Pastorplatz
strassennamen.fid-25a4c101_1886049a808_-111,5334002,1719,Paugasse
strassennamen.fid-25a4c101_1886049a808_-110,5334002,1720,Paulusstraße
strassennamen.fid-25a4c101_1886049a808_-10f,5334002,1721,Paul-Röntgen-Straße
strassennamen.fid-25a4c101_1886049a808_-10e,5334002,1724,Peterskirchhof
strassennamen.fid-25a4c101_1886049a808_-10d,5334002,1726,Peterstraße
strassennamen.fid-25a4c101_1886049a808_-10c,5334002,1727,Petronellastraße
strassennamen.fid-25a4c101_1886049a808_-10b,5334002,1730,Pfeilstraße
strassennamen.fid-25a4c101_1886049a808_-10a,5334002,1732,Piefenhäuschenweg
strassennamen.fid-25a4c101_1886049a808_-109,5334002,1734,Pieter-Bruegel-Straße
strassennamen.fid-25a4c101_1886049a808_-108,5334002,1736,Pippinstraße
strassennamen.fid-25a4c101_1886049a808_-107,5334002,1737,Piusstraße
strassennamen.fid-25a4c101_1886049a808_-106,5334002,1739,Pommerotter Weg
strassennamen.fid-25a4c101_1886049a808_-105,5334002,1740,Pontdriesch
strassennamen.fid-25a4c101_1886049a808_-104,5334002,1742,Pontwall
strassennamen.fid-25a4c101_1886049a808_-103,5334002,1744,Pottenmühlenweg
strassennamen.fid-25a4c101_1886049a808_-102,5334002,1746,Preusweg
strassennamen.fid-25a4c101_1886049a808_-101,5334002,1747,Prinzenhofstraße
strassennamen.fid-25a4c101_1886049a808_-100,5334002,1748,Prinz-Eugen-Straße
strassennamen.fid-25a4c101_1886049a808_-ff,5334002,1751,Professor-Pirlet-Straße
strassennamen.fid-25a4c101_1886049a808_-fe,5334002,1753,Promenadenstraße
strassennamen.fid-25a4c101_1886049a808_-fd,5334002,1755,Raerener Gracht
strassennamen.fid-25a4c101_1886049a808_-fc,5334002,1757,Rasostraße
strassennamen.fid-25a4c101_1886049a808_-fb,5334002,1758,Rathenauallee
strassennamen.fid-25a4c101_1886049a808_-fa,5334002,1759,Rehmannstraße
strassennamen.fid-25a4c101_1886049a808_-f9,5334002,1760,Rehmplatz
strassennamen.fid-25a4c101_1886049a808_-f8,5334002,1762,Reichsweg
strassennamen.fid-25a4c101_1886049a808_-f7,5334002,1764,Reihstraße
strassennamen.fid-25a4c101_1886049a808_-f6,5334002,1765,Reimanstraße
strassennamen.fid-25a4c101_1886049a808_-f5,5334002,1767,Reimser Straße
strassennamen.fid-25a4c101_1886049a808_-f4,5334002,1768,Rennbahn
strassennamen.fid-25a4c101_1886049a808_-f3,5334002,1770,Republikplatz
strassennamen.fid-25a4c101_1886049a808_-f2,5334002,1772,Rethelstraße
strassennamen.fid-25a4c101_1886049a808_-f1,5334002,1777,Rhein-Maas-Straße
strassennamen.fid-25a4c101_1886049a808_-f0,5334002,1779,Richardstraße
strassennamen.fid-25a4c101_1886049a808_-ef,5334002,1781,Ritter-Chorus-Straße
strassennamen.fid-25a4c101_1886049a808_-ee,5334002,1783,Robensstraße
strassennamen.fid-25a4c101_1886049a808_-ed,5334002,1784,Robert-Koch-Straße
strassennamen.fid-25a4c101_1886049a808_-ec,5334002,1786,Robert-Schuman-Straße
strassennamen.fid-25a4c101_1886049a808_-eb,5334002,1788,Rödgerheidweg
strassennamen.fid-25a4c101_1886049a808_-ea,5334002,1790,Römerstraße
strassennamen.fid-25a4c101_1886049a808_-e9,5334002,1791,Römerweg
strassennamen.fid-25a4c101_1886049a808_-e8,5334002,1793,Roermonder Straße
strassennamen.fid-25a4c101_1886049a808_-e7,5334002,1794,Rolandplatz
strassennamen.fid-25a4c101_1886049a808_-e6,5334002,1797,Romaneygasse
strassennamen.fid-25a4c101_1886049a808_-e5,5334002,1799,Rommelsgasse
strassennamen.fid-25a4c101_1886049a808_-e4,5334002,1801,Ronheider Berg
strassennamen.fid-25a4c101_1886049a808_-e3,5334002,1802,Ronheider Weg
strassennamen.fid-25a4c101_1886049a808_-e2,5334002,1803,Ronheider Winkel
strassennamen.fid-25a4c101_1886049a808_-e1,5334002,1804,Roonstraße
strassennamen.fid-25a4c101_1886049a808_-e0,5334002,1805,Rosberg
strassennamen.fid-25a4c101_1886049a808_-df,5334002,1806,Rosenweg
strassennamen.fid-25a4c101_1886049a808_-de,5334002,1807,Rosfeld
strassennamen.fid-25a4c101_1886049a808_-dd,5334002,1808,Rosstraße
strassennamen.fid-25a4c101_1886049a808_-dc,5334002,1809,Rotbendenstraße
strassennamen.fid-25a4c101_1886049a808_-db,5334002,1811,I. Rote-Haag-Weg
strassennamen.fid-25a4c101_1886049a808_-da,5334002,1812,II. Rote-Haag-Weg
strassennamen.fid-25a4c101_1886049a808_-d9,5334002,1813,Rotter Bruch
strassennamen.fid-25a4c101_1886049a808_-d8,5334002,1814,Rottstraße
strassennamen.fid-25a4c101_1886049a808_-d7,5334002,1817,Rütscher Straße
strassennamen.fid-25a4c101_1886049a808_-d6,5334002,1819,Saarstraße
strassennamen.fid-25a4c101_1886049a808_-d5,5334002,1821,Salierallee
strassennamen.fid-25a4c101_1886049a808_-d4,5334002,1823,Salvatorberg
strassennamen.fid-25a4c101_1886049a808_-d3,5334002,1824,Salvatorstraße
strassennamen.fid-25a4c101_1886049a808_-d2,5334002,1825,Sanatoriumstraße
strassennamen.fid-25a4c101_1886049a808_-d1,5334002,1826,Sandkaulbach
strassennamen.fid-25a4c101_1886049a808_-d0,5334002,1827,Sandkaulstraße
strassennamen.fid-25a4c101_1886049a808_-cf,5334002,1828,St. Johann
strassennamen.fid-25a4c101_1886049a808_-ce,5334002,1829,St.-Josefs-Platz
strassennamen.fid-25a4c101_1886049a808_-cd,5334002,1830,St.-Annaberg-Straße
strassennamen.fid-25a4c101_1886049a808_-cc,5334002,1831,St. Vither Straße
strassennamen.fid-25a4c101_1886049a808_-cb,5334002,1833,Scheibenstraße
strassennamen.fid-25a4c101_1886049a808_-ca,5334002,1836,Schenkendorfstraße
strassennamen.fid-25a4c101_1886049a808_-c9,5334002,1837,Schervierstraße
strassennamen.fid-25a4c101_1886049a808_-c8,5334002,1839,Scheurenstraße
strassennamen.fid-25a4c101_1886049a808_-c7,5334002,1841,Schießweg
strassennamen.fid-25a4c101_1886049a808_-c6,5334002,1842,Schildstraße
strassennamen.fid-25a4c101_1886049a808_-c5,5334002,1844,Schillerstraße
strassennamen.fid-25a4c101_1886049a808_-c4,5334002,1846,Schindlerstraße
strassennamen.fid-25a4c101_1886049a808_-c3,5334002,1848,Schinkelstraße
strassennamen.fid-25a4c101_1886049a808_-c2,5334002,1852,Schleswigstraße
strassennamen.fid-25a4c101_1886049a808_-c1,5334002,1854,Schlossstraße
strassennamen.fid-25a4c101_1886049a808_-c0,5334002,1855,Schmiedstraße
strassennamen.fid-25a4c101_1886049a808_-bf,5334002,1859,Schönforststraße
strassennamen.fid-25a4c101_1886049a808_-be,5334002,1860,Schönforstwinkel
strassennamen.fid-25a4c101_1886049a808_-bd,5334002,1861,Schönrathstraße
strassennamen.fid-25a4c101_1886049a808_-bc,5334002,1863,Schopenhauerstraße
strassennamen.fid-25a4c101_1886049a808_-bb,5334002,1865,Schützenstraße
strassennamen.fid-25a4c101_1886049a808_-ba,5334002,1866,Schwalbenweg
strassennamen.fid-25a4c101_1886049a808_-b9,5334002,1867,Schwarzer Weg
strassennamen.fid-25a4c101_1886049a808_-b8,5334002,1868,Sebastianstraße
strassennamen.fid-25a4c101_1886049a808_-b7,5334002,1872,Seffenter Weg
strassennamen.fid-25a4c101_1886049a808_-b6,5334002,1874,Seilgraben
strassennamen.fid-25a4c101_1886049a808_-b5,5334002,1876,Siedlung Daheim
strassennamen.fid-25a4c101_1886049a808_-b4,5334002,1877,Kanonenwiese
strassennamen.fid-25a4c101_1886049a808_-b3,5334002,1879,Siegelallee
strassennamen.fid-25a4c101_1886049a808_-b2,5334002,1880,Siemensstraße
strassennamen.fid-25a4c101_1886049a808_-b1,5334002,1881,Sigmundstraße
strassennamen.fid-25a4c101_1886049a808_-b0,5334002,1883,Sittarder Straße
strassennamen.fid-25a4c101_1886049a808_-af,5334002,1885,Soerser Au
strassennamen.fid-25a4c101_1886049a808_-ae,5334002,1886,Soerser Tal
strassennamen.fid-25a4c101_1886049a808_-ad,5334002,1887,Soerser Weg
strassennamen.fid-25a4c101_1886049a808_-ac,5334002,1889,Soldatengässchen
strassennamen.fid-25a4c101_1886049a808_-ab,5334002,1891,Sophienstraße
strassennamen.fid-25a4c101_1886049a808_-aa,5334002,1893,Spitzgässchen
strassennamen.fid-25a4c101_1886049a808_-a9,5334002,1895,Staudenweg
strassennamen.fid-25a4c101_1886049a808_-a8,5334002,1897,Steffensplatz
strassennamen.fid-25a4c101_1886049a808_-a7,5334002,1899,Steinkaulstraße
strassennamen.fid-25a4c101_1886049a808_-a6,5334002,1901,Stephanstraße
strassennamen.fid-25a4c101_1886049a808_-a5,5334002,1902,Stettiner Straße
strassennamen.fid-25a4c101_1886049a808_-a4,5334002,1903,Steubenstraße
strassennamen.fid-25a4c101_1886049a808_-a3,5334002,1905,Stiftstraße
strassennamen.fid-25a4c101_1886049a808_-a2,5334002,1909,Sträterstraße
strassennamen.fid-25a4c101_1886049a808_-a1,5334002,1911,Stromgasse
strassennamen.fid-25a4c101_1886049a808_-a0,5334002,1913,Südstraße
strassennamen.fid-25a4c101_1886049a808_-9f,5334002,1914,Suermondtplatz
strassennamen.fid-25a4c101_1886049a808_-9e,5334002,1915,Süsterfeldstraße
strassennamen.fid-25a4c101_1886049a808_-9d,5334002,1917,Talbotstraße
strassennamen.fid-25a4c101_1886049a808_-9c,5334002,1918,Talstraße
strassennamen.fid-25a4c101_1886049a808_-9b,5334002,1919,Taubengasse
strassennamen.fid-25a4c101_1886049a808_-9a,5334002,1922,Theaterplatz
strassennamen.fid-25a4c101_1886049a808_-99,5334002,1923,Theaterstraße
strassennamen.fid-25a4c101_1886049a808_-98,5334002,1925,Theresienstraße
strassennamen.fid-25a4c101_1886049a808_-97,5334002,1926,Thiensweg
strassennamen.fid-25a4c101_1886049a808_-96,5334002,1927,Thomashofstraße
strassennamen.fid-25a4c101_1886049a808_-95,5334002,1928,Tielmanweg
strassennamen.fid-25a4c101_1886049a808_-94,5334002,1929,Tilsiter Straße
strassennamen.fid-25a4c101_1886049a808_-93,5334002,1930,Tönnesrather Weg
strassennamen.fid-25a4c101_1886049a808_-92,5334002,1931,Trichtergasse
strassennamen.fid-25a4c101_1886049a808_-91,5334002,1932,Trierer Platz
strassennamen.fid-25a4c101_1886049a808_-90,5334002,1935,Tulpenweg
strassennamen.fid-25a4c101_1886049a808_-8f,5334002,1940,Ungarnstraße
strassennamen.fid-25a4c101_1886049a808_-8e,5334002,1942,Ursulinerstraße
strassennamen.fid-25a4c101_1886049a808_-8d,5334002,1943,Unterer Backertsweg
strassennamen.fid-25a4c101_1886049a808_-8c,5334002,1944,Valkenburger Straße
strassennamen.fid-25a4c101_1886049a808_-8b,5334002,1946,Veltmanplatz
strassennamen.fid-25a4c101_1886049a808_-8a,5334002,1947,Venn
strassennamen.fid-25a4c101_1886049a808_-89,5334002,1948,Vereinsstraße
strassennamen.fid-25a4c101_1886049a808_-88,5334002,1949,Viehhofstraße
strassennamen.fid-25a4c101_1886049a808_-87,5334002,1950,Viktoriaallee
strassennamen.fid-25a4c101_1886049a808_-86,5334002,1952,Kármánstraße
strassennamen.fid-25a4c101_1886049a808_-85,5334002,1953,Virchowstraße
strassennamen.fid-25a4c101_1886049a808_-84,5334002,1954,Von-Brandis-Straße
strassennamen.fid-25a4c101_1886049a808_-83,5334002,1955,Von-Görschen-Straße
strassennamen.fid-25a4c101_1886049a808_-82,5334002,1956,Von-Halfern-Weg
strassennamen.fid-25a4c101_1886049a808_-81,5334002,1957,Von-Pastor-Straße
strassennamen.fid-25a4c101_1886049a808_-80,5334002,1958,Wallstraße
strassennamen.fid-25a4c101_1886049a808_-7f,5334002,1959,Warmweiherstraße
strassennamen.fid-25a4c101_1886049a808_-7e,5334002,1960,Wilhelm-Pitz-Weg
strassennamen.fid-25a4c101_1886049a808_-7d,5334002,1961,Weberstraße
strassennamen.fid-25a4c101_1886049a808_-7c,5334002,1962,Waldenburger Straße
strassennamen.fid-25a4c101_1886049a808_-7b,5334002,1963,Weidenweg
strassennamen.fid-25a4c101_1886049a808_-7a,5334002,1964,Weingartsberg
strassennamen.fid-25a4c101_1886049a808_-79,5334002,1965,Weingartshof
strassennamen.fid-25a4c101_1886049a808_-78,5334002,1966,Weißenbergweg
strassennamen.fid-25a4c101_1886049a808_-77,5334002,1967,Weißenburger Straße
strassennamen.fid-25a4c101_1886049a808_-76,5334002,1968,Weißhausstraße
strassennamen.fid-25a4c101_1886049a808_-75,5334002,1969,Weißwasserstraße
strassennamen.fid-25a4c101_1886049a808_-74,5334002,1970,Welkenrather Straße
strassennamen.fid-25a4c101_1886049a808_-73,5334002,1971,Wenzelstraße
strassennamen.fid-25a4c101_1886049a808_-72,5334002,1972,Wespienstraße
strassennamen.fid-25a4c101_1886049a808_-71,5334002,1973,Westend
strassennamen.fid-25a4c101_1886049a808_-70,5334002,1974,Weststraße
strassennamen.fid-25a4c101_1886049a808_-6f,5334002,1975,Weyhestraße
strassennamen.fid-25a4c101_1886049a808_-6e,5334002,1976,Wiesenstraße
strassennamen.fid-25a4c101_1886049a808_-6d,5334002,1977,Wiesental
strassennamen.fid-25a4c101_1886049a808_-6c,5334002,1979,Wildparkweg
strassennamen.fid-25a4c101_1886049a808_-6b,5334002,1980,Wichernstraße
strassennamen.fid-25a4c101_1886049a808_-6a,5334002,1981,Wilhelmstraße
strassennamen.fid-25a4c101_1886049a808_-69,5334002,1982,Wurmbenden
strassennamen.fid-25a4c101_1886049a808_-68,5334002,1983,Wirichsbongardstraße
strassennamen.fid-25a4c101_1886049a808_-67,5334002,1984,Wittekindstraße
strassennamen.fid-25a4c101_1886049a808_-66,5334002,1986,Walhorner Straße
strassennamen.fid-25a4c101_1886049a808_-65,5334002,1987,Yorckstraße
strassennamen.fid-25a4c101_1886049a808_-64,5334002,1988,Wüllnerstraße
strassennamen.fid-25a4c101_1886049a808_-63,5334002,1989,Zehnthofweg
strassennamen.fid-25a4c101_1886049a808_-62,5334002,1991,Zeise
strassennamen.fid-25a4c101_1886049a808_-61,5334002,1993,Zur Scheidmühle
strassennamen.fid-25a4c101_1886049a808_-60,5334002,1994,Ziegelweg
strassennamen.fid-25a4c101_1886049a808_-5f,5334002,1995,Zollamtstraße
strassennamen.fid-25a4c101_1886049a808_-5e,5334002,1997,Zollernstraße
strassennamen.fid-25a4c101_1886049a808_-5d,5334002,1998,Zum Kirschbäumchen
strassennamen.fid-25a4c101_1886049a808_-5c,5334002,1999,Zweiweiherweg
strassennamen.fid-25a4c101_1886049a808_-5b,5334002,2000,Adalbertsteinweg
strassennamen.fid-25a4c101_1886049a808_-5a,5334002,2003,Adenauerallee
strassennamen.fid-25a4c101_1886049a808_-59,5334002,2006,Amsterdamer Ring
strassennamen.fid-25a4c101_1886049a808_-58,5334002,2008,Amyastraße
strassennamen.fid-25a4c101_1886049a808_-57,5334002,2010,Annastraße
strassennamen.fid-25a4c101_1886049a808_-56,5334002,2012,Augustastraße
strassennamen.fid-25a4c101_1886049a808_-55,5334002,2016,Augustinerweg
strassennamen.fid-25a4c101_1886049a808_-54,5334002,2017,Berliner Ring
strassennamen.fid-25a4c101_1886049a808_-53,5334002,2019,Bismarckstraße
strassennamen.fid-25a4c101_1886049a808_-52,5334002,2022,Bleiberger Straße
strassennamen.fid-25a4c101_1886049a808_-51,5334002,2024,Blondelstraße
strassennamen.fid-25a4c101_1886049a808_-50,5334002,2026,Borngasse
strassennamen.fid-25a4c101_1886049a808_-4f,5334002,2028,Boxgraben
strassennamen.fid-25a4c101_1886049a808_-4e,5334002,2031,Brabantstraße
strassennamen.fid-25a4c101_1886049a808_-4d,5334002,2033,Branderhofer Weg
strassennamen.fid-25a4c101_1886049a808_-4c,5334002,2035,Burtscheider Markt
strassennamen.fid-25a4c101_1886049a808_-4b,5334002,2037,Erzbergerallee
strassennamen.fid-25a4c101_1886049a808_-4a,5334002,2039,Eupener Straße
strassennamen.fid-25a4c101_1886049a808_-49,5334002,2041,Franzstraße
strassennamen.fid-25a4c101_1886049a808_-48,5334002,2043,Gneisenaustraße
strassennamen.fid-25a4c101_1886049a808_-47,5334002,2045,Grüner Weg
strassennamen.fid-25a4c101_1886049a808_-46,5334002,2047,Hauptstraße
strassennamen.fid-25a4c101_1886049a808_-45,5334002,2049,Heinrichsallee
strassennamen.fid-25a4c101_1886049a808_-44,5334002,2051,Hohenstaufenallee
strassennamen.fid-25a4c101_1886049a808_-43,5334002,2053,Jakobstraße
